Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Profile,Neck Joint,Fretboard Material,Neck Material,Expensive Wood,Bridge Type,Bridge,Scale Size,Shape,Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Bridge Pickup,Neck Pickup,Middle Pickup,Top Pickup Brand,Locking Tuners,Tremolo,Stays in Tune (Evertune),Luminescent Inlay,Compound Radius Fretboard,Price,Number of Frets,Pickups Power
ESP LTD,2018.0,H,6.0,Indonesia,Solid Body,Super Strat,Alder,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000,"25.5""",Extra Thin U,XL Jumbo,"13.78""",False,Locking,43mm (1.693''),0 Way,Dome,1.0,0.0,Seymour Duncan Black Winter (Humbucker / Passive),,,True,False,True,False,True,False,954.22,24,Passive
ESP LTD,2020.0,H,6.0,Indonesia,Solid Body,Super Strat,Alder,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000,"25.5""",Extra Thin U,XL Jumbo,"13.78""",False,Locking,43mm (1.693''),0 Way,Dome,1.0,0.0,Seymour Duncan Distortion SH-6 (Humbucker / Passive),,,True,False,True,False,False,False,905.044,24,Passive
ESP LTD,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,U,Bolt-On,Ebony,Maple,True,Fixed,Hipshot w/ String Thru,"26.5"" to 25.5""",Thin U,XL Jumbo,"13.78""",True,Bone,42mm (1.654''),3 Way,Dome,1.0,1.0,Seymour Duncan Nazgul (Humbucker / Passive),Seymour Duncan Sentient (Humbucker / Passive),,True,True,False,False,False,False,1204.2975,24,Passive-Passive
ESP LTD,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Alder,U,Neck-Through,Ebony,Maple,True,Fixed,Hipshot w/ String Thru,"25.5""",Extra Thin U,XL Jumbo,"13.78""",True,Plastic,43mm (1.693''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,False,False,1207.956,24,Active-Active
ESP E-II,2014.0,HH,7.0,Japan,Solid Body,Super Strat,Mahogany,U,Set,Ebony,Maple,True,Fixed,Hipshot w/ String Thru,"25.5""",Thin U,XL Jumbo,"12""",False,Bone,48mm (1.89''),3 Way,Dome,1.0,1.0,Bare Knuckle Warpig 7st (Humbucker / Passive),Bare Knuckle Warpig 7st (Humbucker / Passive),,True,True,False,False,False,False,2561.126,24,Passive-Passive
Sterling,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,D,Set,Ebony,Mahogany,True,Tremolo,Modern Tremolo,"25.5""",John Petrucci,Medium Jumbo,"16""",True,Compensated,41.9mm (1.65''),3 Way,Dome,1.0,1.0,DiMarzio Crunch Lab (Humbucker / Passive),DiMarzio LiquiFire (Humbucker / Passive),,True,True,True,False,False,False,1032.996666666667,24,Passive-Passive
ESP LTD,2021.0,HH,7.0,Indonesia,Solid Body,Super Strat,Mahogany,U,Set,Ebony,Maple,True,Evertune,Evertune (F model),"25.5""",Thin U,XL Jumbo,"13.78""",True,Plastic,48mm (1.89''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,False,False,True,False,False,1236.832,24,Active-Active
Reverend,2021.0,SS,6.0,South Korea,Solid Body,Telecaster,Limba,C,Bolt-On,Rosewood,Maple,True,Fixed,String-Thru-Body Hardtail,"25.5""",Medium Oval,Jumbo,"10"" to 14""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,1.0,Talnico Bridge (Single Coil / Passive),Talnico Neck (Single Coil / Passive),,True,True,False,False,False,True,903.4833333333332,22,Passive-Passive
ESP LTD,2021.0,H,6.0,Indonesia,Solid Body,Firebird,Mahogany,U,Neck-Through,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM & Tailpiece,"25.5""",Thin U,XL Jumbo,"13.78""",True,Plastic,42mm (1.654''),0 Way,Dome,1.0,0.0,EMG 81TW (Humbucker / Active),,,True,True,False,False,True,False,895.432,22,Active
ESP LTD,2022.0,H,7.0,Indonesia,Solid Body,Firebird,Mahogany,U,Neck-Through,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM w/ String Thru,"27""",Thin U,XL Jumbo,"15.748""",True,Plastic,48mm (1.89''),0 Way,Dome,1.0,0.0,Fishman Fluence Modern Ceramic (Humbucker / Active),,,True,True,False,False,True,False,1039.66,22,Active
Jackson,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Ash,D,Bolt-On,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Seymour Duncan JB TB-4 (Humbucker / Passive),Seymour Duncan '59 SH-1N (Humbucker / Passive),,True,False,True,False,True,True,956.306,24,Passive-Passive
Jackson,2018.0,HH,6.0,Indonesia,Solid Body,V,Mahogany,D,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Seymour Duncan Distortion TB-6 (Humbucker / Passive),Seymour Duncan Distortion SH-6 (Humbucker / Passive),,True,False,True,False,False,True,861.592,24,Passive-Passive
Jackson,2014.0,HH,6.0,Indonesia,Solid Body,V,Mahogany,D,Neck-Through,Ebony,Maple,True,Fixed,Jackson TOM-Style Adjustable with Anchored Tailpiece,"25.5""",Speed,Jumbo,"12"" to 16""",False,Plastic,42.9mm (1.688''),3 Way,Speed,1.0,1.0,Seymour Duncan Distortion TB-6 (Humbucker / Passive),Seymour Duncan Distortion SH-6 (Humbucker / Passive),,True,True,False,False,False,True,859.5560000000002,24,Passive-Passive
Jackson,2021.0,HH,6.0,Indonesia,Solid Body,V,Mahogany,D,Neck-Through,Ebony,Maple,True,Fixed,Jackson TOM-Style Adjustable with Anchored Tailpiece,"25.5""",Speed,Jumbo,"12"" to 16""",False,Plastic,42.9mm (1.688''),3 Way,Dome,1.0,1.0,EMG 81 (Humbucker / Active),EMG 85 (Humbucker / Active),,True,True,False,False,False,True,949.906,22,Active-Active
Jackson,2018.0,HH,6.0,Indonesia,Solid Body,V,Mahogany,D,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Seymour Duncan Distortion SH-6 (Humbucker / Passive),Seymour Duncan Distortion SH-6 (Humbucker / Passive),,True,False,True,False,False,True,990.964,22,Passive-Passive
Jackson,2021.0,H,6.0,Indonesia,Solid Body,Explorer,Poplar,D,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),0 Way,Dome,1.0,0.0,Seymour Duncan Parallel Axis Original (Humbucker / Passive),,,True,False,True,False,False,True,1080.304,24,Passive
Jackson,2020.0,HH,7.0,Indonesia,Solid Body,V,Mahogany,D,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000 Series 7-String Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,44.5mm (1.75''),3 Way,Dome,1.0,0.0,Seymour Duncan Blackouts AHB-1B 7 (Humbucker / Active),Seymour Duncan Blackouts AHB-1N 7 (Humbucker / Active),,True,False,True,False,False,True,1262.702,24,Active-Active
Jackson,2014.0,HH,6.0,Indonesia,Solid Body,Offset,Mahogany,D,Neck-Through,Ebony,Mahogany,True,Fixed,Jackson TOM-Style Adjustable with Anchored Tailpiece,"24.75""",Speed,Medium Jumbo,"12"" to 16""",False,Plastic,42.9mm (1.688''),3 Way,Dome,2.0,2.0,DiMarzio Mark Morton Signature Dominion (Humbucker / Passive),DiMarzio Mark Morton Signature Dominion (Humbucker / Passive),,True,True,False,False,False,True,1205.8833333333332,22,Passive-Passive
Jackson,2019.0,HH,6.0,Indonesia,Solid Body,Explorer,Mahogany,D,Neck-Through,Laurel,Maple,True,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,2.0,0.0,EMG 81 (Humbucker / Active),EMG 60 (Humbucker / Active),,True,False,True,False,False,True,876.5880000000001,24,Active-Active
Jackson,2021.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,D,Neck-Through,Ebony,Maple,True,Fixed,Jackson HT6 String-Through-Body Hardtail,"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Plastic,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Seymour Duncan Distortion TB-6 (Humbucker / Passive),Seymour Duncan Distortion SH-6 (Humbucker / Passive),,True,True,False,False,False,True,757.8979999999999,24,Passive-Passive
Jackson,2021.0,HH,7.0,Indonesia,Solid Body,Super Strat,Mahogany,D,Neck-Through,Ebony,Maple,True,Fixed,Jackson HT7 String-Through-Body Hardtail,"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Plastic,47.6mm (1.875''),5 Way,Dome,1.0,1.0,Seymour Duncan Distortion 7 (Humbucker / Passive),Seymour Duncan Distortion 7 (Humbucker / Passive),,True,True,False,False,False,True,1040.4019999999998,24,Passive-Passive
Charvel,2020.0,HH,6.0,Mexico,Solid Body,Super Strat,Mahogany,C,Bolt-On,Maple,Maple,True,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan APH-1N (Humbucker / Passive),,True,False,True,False,False,True,917.4625,24,Passive-Passive
Charvel,2022.0,HH,6.0,Mexico,Solid Body,Super Strat,Mahogany,C,Bolt-On,Ebony,Maple,True,Fixed,Charvel HT6 String-Through-Body Hardtail,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Ivory Tusq,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan APH-1N (Humbucker / Passive),,True,True,False,False,False,True,981.0675,24,Passive-Passive
Charvel,2021.0,HSH,6.0,Mexico,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Tremolo,Gotoh Custom 510 Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Ivory Tusq,42.9mm (1.688''),5 Way,Bell,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan APH-1N (Humbucker / Passive),Seymour Duncan Custom Flat Strat SSL-6 (Single Coil / Passive),True,True,True,False,True,True,937.215,24,Passive-Passive-Passive
Charvel,2021.0,HSH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Bolt-On,Maple,Maple,True,Tremolo,Gotoh Custom 510 Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Ivory Tusq,42.9mm (1.688''),5 Way,Bell,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan APH-1N (Humbucker / Passive),Seymour Duncan Custom Flat Strat SSL-6 (Single Coil / Passive),True,True,True,False,True,True,1037.97,24,Passive-Passive-Passive
Charvel,2021.0,HSS,6.0,Mexico,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Tremolo,Gotoh Custom 510 Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Ivory Tusq,42.9mm (1.688''),5 Way,Bell,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan Custom Flat Strat SSL-6 RWRP (Single Coil / Passive),Seymour Duncan Custom Flat Strat SSL-6 (Single Coil / Passive),True,True,True,False,True,True,913.9525,24,Passive-Passive-Passive
Charvel,2020.0,HSS,6.0,South Korea,Solid Body,Super Strat,Ash,C,Bolt-On,Maple,Maple,True,Tremolo,Gotoh Custom 510 Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Ivory Tusq,42.9mm (1.688''),5 Way,Bell,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan Custom Flat Strat SSL-6 RWRP (Single Coil / Passive),Seymour Duncan Custom Flat Strat SSL-6 (Single Coil / Passive),True,True,True,False,True,True,986.56,24,Passive-Passive-Passive
Charvel,2020.0,HSS,6.0,Mexico,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan Custom Flat Strat SSL-6 RWRP (Single Coil / Passive),Seymour Duncan Custom Flat Strat SSL-6 (Single Coil / Passive),True,False,True,False,False,True,1010.9925,24,Passive-Passive-Passive
Charvel,2018.0,HH,6.0,Mexico,Solid Body,Super Strat,Ash,C,Bolt-On,Ebony,Maple,True,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,DiMarzio Super Distortion DP100 (Humbucker / Passive),DiMarzio PAF Pro DP151 (Humbucker / Passive),,True,False,True,False,False,True,913.1725,22,Passive-Passive
Charvel,2018.0,HH,6.0,Mexico,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Floyd Rose,Floyd Rose 1000 Series Double-Locking Tremolo (Recessed),"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Seymour Duncan JB TB-4 (Humbucker / Passive),Seymour Duncan '59 SH-1N (Humbucker / Passive),,True,False,True,False,False,True,828.1066666666666,22,Passive-Passive
Charvel,2021.0,HH,6.0,Mexico,Solid Body,Telecaster,Alder,C,Bolt-On,Maple,Maple,False,Fixed,Charvel HT6 String-Through-Body Hardtail with Brass Saddles,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Ivory Tusq,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Fishman Fluence Open Core PRF-COC (Humbucker / Active),Fishman Fluence Open Core PRF-COC (Humbucker / Active),,True,True,False,False,True,True,868.1325,24,Active-Active
Schecter,2019.0,HH,6.0,Indonesia,Solid Body,Super Strat,Ash,C,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Ultra Thin C,XL Jumbo,"14""",False,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Schecter Diamond Decimator (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,False,False,953.056,24,Passive-Passive
Reverend,2021.0,HH,6.0,South Korea,Solid Body,Offset,Limba,C,Bolt-On,Ebony,Maple,True,Tremolo,Wilkinson WVS50 IIK Tremolo,"25.5""",Medium C,XL Jumbo,"12""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,2.0,Reeves Gabrels Signature Bridge (Humbucker / Passive),Reeves Gabrels Signature Neck (Humbucker / Passive),,True,True,True,False,False,False,1212.6633333333332,22,Passive-Passive
Reverend,2021.0,HH,6.0,South Korea,Semi-Hollow,Double Cut,Limba,C,Set,Ebony,Limba,True,Bigsby Tremolo,Bigsby B-50 with Roller Bridge,"24.75""",Medium Oval,XL Jumbo,"12""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,2.0,Reeves Gabrels Signature Bridge (Humbucker / Passive),Reeves Gabrels Signature Neck (Humbucker / Passive),,True,True,True,False,False,False,1282.435,22,Passive-Passive
Ibanez,2019.0,HH,7.0,Japan,Solid Body,Super Strat,Basswood,Wizard,Bolt-On,Ebony,Maple,True,Lo-Pro Edge,Lo-Pro Edge 7 tremolo,"27""",Wizard-7,Jumbo,"17""",False,Locking,48mm (1.89''),5 Way,Dome,1.0,1.0,DiMarzio Fusion Edge 7 (Humbucker / Passive),DiMarzio Fusion Edge 7 (Humbucker / Passive),,True,False,True,False,False,False,1764.3866666666663,24,Passive-Passive
Ibanez,2021.0,HH,6.0,Indonesia,Solid Body,Super Strat,Nyatoh,Wizard,Bolt-On,Ebony,Panga Panga,True,Fixed,Gibraltar Standard II,"25.5""",Nitro Wizard,Jumbo,"16""",False,Plastic,43mm (1.693''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,False,910.654,24,Active-Active
Ibanez,2016.0,HH,6.0,Japan,Solid Body,Super Strat,Ash,Super Wizard,Bolt-On,Maple,Maple,True,Fixed,Gibraltar Standard II,"25.5""",Super Wizard,Jumbo,"17""",False,Ivory Tusq,43mm (1.693''),5 Way,Dome,1.0,1.0,DiMarzio The Tone Zone (Humbucker / Passive),DiMarzio Air Norton (Humbucker / Passive),,True,True,False,False,False,False,1369.018,24,Passive-Passive
Ibanez,2016.0,HH,7.0,Japan,Solid Body,Super Strat,Ash,Wizard,Bolt-On,Maple,Maple,True,Lo-Pro Edge,Lo-Pro Edge 7 tremolo,"25.5""",Wizard-7,Jumbo,"17""",False,Locking,48mm (1.89''),5 Way,Dome,1.0,1.0,DiMarzio PAF 7 (Humbucker / Passive),DiMarzio PAF 7 (Humbucker / Passive),,True,False,True,False,False,False,1366.49,24,Passive-Passive
Ibanez,2019.0,HH,6.0,Indonesia,Solid Body,Super Strat,Nyatoh,Wizard,Bolt-On,Ebony,Panga Panga,True,Fixed,Gibraltar Standard II,"25.5""",Nitro Wizard,Jumbo,"16""",False,Plastic,43mm (1.693''),3 Way,Dome,1.0,0.0,Bare Knuckle Aftermath (Humbucker / Passive),Bare Knuckle Aftermath (Humbucker / Passive),,True,True,False,False,True,False,868.9275,24,Passive-Passive
Ibanez,2019.0,HH,6.0,Indonesia,Solid Body,Super Strat,Ash,Wizard,Bolt-On,Ebony,Panga Panga,True,Fixed,Mono-rail,"26.5""",Nitro Wizard,Jumbo,"16""",False,Plastic,43mm (1.693''),3 Way,Dome,1.0,0.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,False,990.6916666666666,24,Active-Active
Schecter,2011.0,SSS,6.0,South Korea,Solid Body,Offset,Mahogany,C,Set,Rosewood,Maple,True,Fixed,TonePros System w/Custom Brass Saddles,"30""",Thin C,XL Jumbo,"14""",False,Black Tusq XL,42mm (1.654''),5 Way,Dome,1.0,1.0,Seymour Duncan SJAG-1B (Single Coil / Passive),Seymour Duncan SJAG-1N (Single Coil / Passive),Seymour Duncan SJAG-1M (Single Coil / Passive),True,True,False,False,False,False,1259.0,24,Passive-Passive-Passive
Gibson,2019.0,HH,6.0,United States,Solid Body,SG,Mahogany,Asymmetrical,Set,Ebony,Mahogany,True,Fixed,Nashville Tune-O-Matic,"24.75""",Asymmetrical Slim Taper,Medium Jumbo,"10"" to 16""",False,Ivory Tusq,43mm (1.693''),3 Way,Bell,2.0,2.0,Gibson Burstbucker Pro + Lead (Humbucker / Passive),Gibson Burstbucker Pro Rhythm (Humbucker / Passive),,True,False,False,False,False,True,1765.8580000000002,24,Passive-Passive
Kramer,2022.0,H,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Neck-Through,Ebony,Mahogany,True,Floyd Rose,Floyd Rose 1000 Series Tremolo,"25.5""",K-Speed SlimTaper C,Jumbo,"12.6""",False,Locking,41.3mm (1.625''),0 Way,Dome,1.0,0.0,Seymour Duncan JB SH-4 (Humbucker / Passive),,,True,False,True,False,False,False,879.655,24,Passive
Schecter,2017.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Bolt-On,Ebony,Maple,True,Floyd Rose,Floyd Rose Special Hot Rod Locking Tremolo (Schecter Exclusive),"25.5""",Thin C,XL Jumbo,"14""",False,Locking,41.3mm (1.625''),3 Way,Dome,2.0,0.0,EMG Retro Active Hot 70 (Humbucker / Active),Sustainiac (Humbucker / Passive),,True,False,True,False,False,False,812.104,24,Active-Passive
Solar,2021.0,HH,6.0,Indonesia,Solid Body,Telecaster,Alder,C,Set,Ebony,Maple,True,Evertune,Evertune F-Type,"25.5""",Solar C Shape,XL Jumbo,"13.78""",True,Graphite,43mm (1.693''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,True,False,True,True,False,956.76,24,Passive-Passive
Fender,2020.0,HSS,6.0,Mexico,Solid Body,Stratocaster,Alder,C,Bolt-On,Rosewood,Maple,True,Floyd Rose,Floyd Rose FRT-O2000 Double-Locking Tremolo (Recessed),"25.5""",Modern C,Medium Jumbo,"9.5"" to 14""",False,Locking,42.5mm (1.675''),5 Way,Dome,1.0,2.0,Seymour Duncan Hot Rails Strat SHR-1B (Rail Humbucker / Passive),Fender Vintage Noiseless Single-Coil Strat (Single Coil / Passive),Fender Vintage Noiseless Single-Coil Strat (Single Coil / Passive),True,True,True,False,False,True,1330.602,22,Passive-Passive-Passive
Charvel,2017.0,HSS,6.0,United States,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Floyd Rose,Floyd Rose Original Double-Locking 2-Point Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,0.0,DiMarzio Super Distortion DP100 (Humbucker / Passive),DiMarzio HS-2 DP116 (Single Coil / Passive),DiMarzio HS-2 DP116 (Single Coil / Passive),True,False,True,False,False,True,2232.09,22,Passive-Passive-Passive
Charvel,2016.0,HSS,6.0,United States,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Floyd Rose,Floyd Rose Original Double-Locking 2-Point Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,0.0,DiMarzio Super Distortion DP100 (Humbucker / Passive),DiMarzio HS-2 DP116 (Single Coil / Passive),DiMarzio HS-2 DP116 (Single Coil / Passive),True,False,True,False,False,True,2326.0325000000003,22,Passive-Passive-Passive
ESP LTD,2022.0,HH,6.0,Indonesia,Solid Body,SG,Mahogany,U,Set,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM & Tailpiece,"27""",Thin U,XL Jumbo,"13.78""",True,Plastic,42mm (1.654''),3 Way,Dome,1.0,1.0,EMG 81 (Humbucker / Active),EMG 60TW-R (Humbucker / Active),,True,True,False,False,False,False,1153.9266666666665,24,Active-Active
Jackson,2012.0,HH,6.0,Indonesia,Solid Body,V,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,EMG 81 (Humbucker / Active),EMG 85 (Humbucker / Active),,True,False,True,False,False,True,673.71,24,Active-Active
Ibanez,2021.0,HH,6.0,Indonesia,Solid Body,Offset,Okoume,Wizard,Neck-Through,Ebony,Maple,True,Edge Zero II,Edge-Zero II,"25.5""",Wizard III,Jumbo,"15.748""",False,Locking,43mm (1.693''),3 Way,Dome,1.0,1.0,DiMarzio D Activator (Humbucker / Passive),DiMarzio D Activator (Humbucker / Passive),,True,False,True,False,True,False,1218.63,24,Passive-Passive
Solar,2018.0,HH,7.0,Indonesia,Solid Body,Super Strat,Ash,C,Set,Ebony,Maple,True,Evertune,Evertune F-Type,"26.5""",Solar C Shape,XL Jumbo,"15.748""",True,Graphite,48mm (1.89''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,True,False,True,True,False,1286.3933333333334,24,Passive-Passive
Solar,2017.0,HH,7.0,Indonesia,Solid Body,Super Strat,Alder,C,Set,Ebony,Maple,True,Evertune,Evertune F-Type,"26.5""",Solar C Shape,XL Jumbo,"15.748""",True,Graphite,48mm (1.89''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,True,False,True,True,False,1261.19,24,Passive-Passive
Solar,2021.0,HH,7.0,Indonesia,Solid Body,Super Strat,Alder,C,Set,Ebony,Maple,True,Evertune,Evertune F-Type,"26.5""",Solar C Shape,XL Jumbo,"15.748""",True,Graphite,48mm (1.89''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,True,False,True,True,False,1106.7,24,Passive-Passive
Solar,2018.0,HH,7.0,Indonesia,Solid Body,Super Strat,Ash,C,Set,Ebony,Maple,True,Evertune,Evertune F-Type,"26.5""",Solar C Shape,XL Jumbo,"15.748""",True,Graphite,48mm (1.89''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,True,False,True,True,False,1059.78,24,Passive-Passive
ESP LTD,2022.0,H,6.0,Indonesia,Solid Body,Telecaster,Mahogany,U,Neck-Through,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM w/ String Thru,"24.75""",Thin U,XL Jumbo Evo Gold,"13.78""",False,Plastic,42mm (1.654''),0 Way,Dome,1.0,0.0,EMG 81 (Humbucker / Active),,,True,True,False,False,False,False,1360.5,24,Active
Fender,2019.0,SS,6.0,United States,Solid Body,Jazzmaster,Alder,D,Bolt-On,Rosewood,Maple,True,Tremolo,American Professional Jazzmaster,"25.5""",Ultra Modern D,Medium Jumbo,"10"" to 14""",False,Bone,42.8mm (1.685''),3 Way,Bell,2.0,2.0,Fender Ultra Noiseless Vintage Jazzmaster (Single Coil / Passive),Fender Ultra Noiseless Vintage Jazzmaster (Single Coil / Passive),,True,True,True,False,False,True,2124.1760000000004,21,Passive-Passive
Fender,2019.0,SSS,6.0,United States,Solid Body,Stratocaster,Alder,D,Bolt-On,Maple,Maple,False,Tremolo,2-Point Deluxe Synchronized Tremolo with Pop-In Arm,"25.5""",Ultra Modern D,Medium Jumbo,"10"" to 14""",False,Bone,42.8mm (1.685''),5 Way,Bell,1.0,2.0,Fender Ultra Noiseless Vintage Strat (Single Coil / Passive),Fender Ultra Noiseless Vintage Strat (Single Coil / Passive),Fender Ultra Noiseless Vintage Strat (Single Coil / Passive),True,True,True,False,False,True,1685.7580000000005,22,Passive-Passive-Passive
Fender,2019.0,HSS,6.0,United States,Solid Body,Stratocaster,Alder,D,Bolt-On,Rosewood,Maple,True,Tremolo,2-Point Deluxe Synchronized Tremolo with Pop-In Arm,"25.5""",Ultra Modern D,Medium Jumbo,"10"" to 14""",False,Bone,42.8mm (1.685''),5 Way,Bell,1.0,2.0,Fender Ultra Double Tap Humbucking (Humbucker / Passive),Fender Ultra Noiseless Hot Strat (Single Coil / Passive),Fender Ultra Noiseless Hot Strat (Single Coil / Passive),True,True,True,False,False,True,1727.9575,22,Passive-Passive-Passive
Charvel,2019.0,HH,7.0,South Korea,Solid Body,Super Strat,Basswood,C,Bolt-On,Maple,Maple,False,Tremolo,Gotoh Custom 7-String 510 Tremolo,"25.5""",Angel Vivaldi Custom,Jumbo,"12"" to 16""",False,Black Tusq XL,47.6mm (1.875''),5 Way,Dome,1.0,1.0,DiMarzio The Tone Zone 7 (Humbucker / Passive),DiMarzio Air Norton 7 (Humbucker / Passive),,True,True,True,False,True,True,1215.85,24,Passive-Passive
